Name,Type,PCType,Socket,RamType,RamCapacity,VCInterface,HDD/SSDInterface,HDD/SSD Capacity
Asus ROG,MotherBoard,All,1151,DDR4,32GB,PCI-E3.0,SATA,
Asrock,MotherBoard,Gaming,1151,DDR4,64GB,PCI-E3.0,SATA/M2,
Gigabyte P35,MotherBoard,Low,775,DDR2,16GB,PCI-E2.0,SATA,
Asus H81,MotherBoard,Low,1150,DDR3,32GB,PCI-E3.0,SATA,
Asus H110,MotherBoard,Low,1151,DDR4,64GB,PCI-E3.0,SATA,
Artemither X79,MotherBoard,All,2011,DDR3 ECC,512GB,PCI-E3.0,SATA/M2,
Asus TUF B550,MotherBoard,All,AM4,DDR4,128GB,PCI-E3.0,SATA/M2,
MSI A 520 ,MotherBoard,Low,AM4,DDR4,64GB,PCI-E3.0,SATA,
Intel Xeon e5 2689 ,CPU,Gaming,2011,,,,,
Dual Core 6400,CPU,Low,775,,,,,
Pentium 3220,CPU,Low,1150,,,,,
Pentium 4400,CPU,Low,1151,,,,,
IntelCore i3,CPU,Middle,1151,,,,,
IntelCore i5,CPU,All,1151,,,,,
IntelCore i7,CPU,Gaming,1151,,,,,
AMD Ryzen 3,CPU,Low,AM4,,,,,
AMD Ryzen 7,CPU,Gaming,AM4,,,,,
AMD Ryzen 5,CPU,Middle,AM4,,,,,
Nvidia RTX2070,VC,Gaming,,,,PCI-E3.0,,
Nvidia GTX550,VC,Middle,,,,PCI-E2.0,,
AMD Radeon R 7 240,VC,Low,,,,PCI-E3.0,,
AMd Radeon RX 550 ,VC,Middle,,,,PCI-E3.0,,
SSD M2,SSD,Gaming,,,,,M2,
SSD Sata,SSD,Gaming,,,,,SATA,
HDD Sata,HDD,Middle/Low,,,,,SATA,
Kingston 4gb,RAM,Low,,DDR3,4,,,
Kingston 16gb,RAM,Middle,,DDR4,16,,,
Samsung 32gb,RAM,Middle,,DDR3 ECC,32,,,
